Unnamed: 0.1,restaurant_name,restaurant_type,rating,num_ratings,avg_cost_two_people,online_order,table_booking,cuisines_type,area,local address,rating_category
3794,Manjit Da Dhaba,Quick Bites,4.3,783,300.0,yes,no,North Indian,Brigade Road,Frazer Town,Very Good
3795,Manju'S Kitchen,Quick Bites,3.3,13,200.0,yes,no,Biryani,Indiranagar,Indiranagar,Good
3796,Manjushree Upahara,Quick Bites,3.8,31,150.0,yes,no,South Indian,Bannerghatta Road,Bannerghatta Road,Good
3797,Manjushree Veg,Quick Bites,3.5,10,150.0,no,no,"South Indian, Chinese",Bannerghatta Road,Bannerghatta Road,Good
3798,Manshi Paratha & Pav Bhaji,"Takeaway, Delivery",3.2,6,150.0,yes,no,"North Indian, Fast Food",Hsr,Hsr,Good
3799,Mantap Ice Cream,Dessert Parlor,3.5,7,200.0,no,no,Desserts,Lavelle Road,Majestic,Good
3800,Map- My Appetite Place,"Takeaway, Delivery",3.8,29,600.0,yes,no,"North Indian, Italian, Chinese",Bellandur,Hsr,Good
3801,Marahaba,Quick Bites,3.0,7,400.0,yes,no,"Arabian, Mediterranean","Byresandra,Tavarekere,Madiwala",Koramangala 6Th Block,Good
3802,Maraheb Restaurant,Casual Dining,4.2,219,1000.0,yes,no,Arabian,Kalyan Nagar,Kalyan Nagar,Very Good
3803,Marakachi,Casual Dining,3.7,82,600.0,yes,no,Chettinad,Kammanahalli,Kalyan Nagar,Good
3804,Maratha Darshan,Quick Bites,4.0,107,400.0,no,no,"Maharashtrian, North Indian",Brigade Road,Cunningham Road,Very Good
3805,Marathi Biriyani House,Quick Bites,3.3,6,300.0,yes,no,"South Indian, Biryani",Brigade Road,Frazer Town,Good
3806,Maravanthe,Casual Dining,3.5,12,650.0,yes,no,"Mangalorean, Seafood",Brigade Road,Brigade Road,Good
3807,Marenahalli Donne Biriyani,Quick Bites,3.9,259,300.0,yes,no,"Biryani, Fast Food",Basavanagudi,Jp Nagar,Good
3808,Marhaba,Casual Dining,3.6,42,600.0,yes,no,"Arabian, Mediterranean, North Indian",Kalyan Nagar,Nagawara,Good
3809,Maria Taste Circle,Casual Dining,3.9,666,450.0,yes,no,"South Indian, North Indian, Kerala, Seafood",Brookefield,Marathahalli,Good
3810,Maria'S Goan Kitchen,Casual Dining,3.9,391,750.0,yes,no,"Goan, Chinese, Biryani","Byresandra,Tavarekere,Madiwala",Koramangala 7Th Block,Good
3811,Marigold Fine Dine Restaurant,Casual Dining,4.0,288,1500.0,no,yes,"Continental, Asian",Brookefield,Whitefield,Very Good
3812,Mark,"Takeaway, Delivery",3.7,36,500.0,yes,no,"Andhra, Fast Food",Hsr,Hsr,Good
3813,Market Table,Cafe,4.5,546,900.0,no,yes,"Cafe, Continental, Mediterranean, Beverages","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Excellent
3814,Marley'S Bistro,Casual Dining,3.9,93,400.0,yes,no,"Continental, European, Salad, Beverages, Italian, Burger",Electronic City,Electronic City,Good
3815,Marmaris,Quick Bites,3.8,76,300.0,no,no,"North Indian, Momos",Electronic City,Electronic City,Good
3816,Mars Chicken Delight,Casual Dining,3.7,107,500.0,no,no,"North Indian, Chinese, Biryani, Beverages",Koramangala 4Th Block,Koramangala 1St Block,Good
3817,Martino'S,Quick Bites,3.6,30,350.0,no,no,"Italian, Pizza",Koramangala 4Th Block,Koramangala 1St Block,Good
3818,Marunadan Kada,Quick Bites,3.3,6,250.0,no,no,"Kerala, Tea","Byresandra,Tavarekere,Madiwala",Btm,Good
3819,Maruthi Davangere Benne Dosa,Quick Bites,4.0,17,150.0,yes,no,South Indian,Banashankari,Banashankari,Very Good
3820,Maruti Garden,Quick Bites,3.5,40,500.0,no,no,"North Indian, Kerala",Koramangala 6Th Block,Btm,Good
3821,Marwa Family Restaurant,Quick Bites,3.0,8,500.0,no,no,"North Indian, Chinese",Electronic City,Electronic City,Good
3822,Marwa Restaurant,Casual Dining,3.5,551,600.0,yes,yes,"North Indian, Chinese, Fast Food, Bbq",Bannerghatta Road,Bannerghatta Road,Good
3823,Marwari Basa,Quick Bites,3.1,26,300.0,yes,no,"Rajasthani, North Indian",Bellandur,Bellandur,Good
3824,Mary Cafe,Quick Bites,3.3,17,150.0,no,no,"Chinese, South Indian",Indiranagar,Thippasandra,Good
3825,Marzipan @ The Bohemian House,Cafe,4.2,49,700.0,yes,no,Cafe,Basavanagudi,Richmond Road,Very Good
3826,Marzipan Cafe & Bakery,"Cafe, Bakery",4.2,430,700.0,yes,no,"Cafe, Mediterranean, Bakery, Greek",Indiranagar,Ulsoor,Very Good
3827,Masala Central,Quick Bites,3.7,74,300.0,yes,no,North Indian,Brigade Road,Frazer Town,Good
3828,Masala Chai,"Beverage Shop, Quick Bites",4.1,191,250.0,yes,no,"Beverages, Fast Food, Tea",Brookefield,Whitefield,Very Good
3829,Masala Dani - The Paul,Casual Dining,3.7,56,1800.0,no,no,"Mughlai, North Indian",Indiranagar,Domlur,Good
3830,Masala Kitchen,Casual Dining,3.0,4,700.0,no,no,North Indian,Lavelle Road,Brigade Road,Good
3831,Masala Klub - The Taj West End,Fine Dining,4.4,309,4000.0,no,yes,"North Indian, South Indian",Church Street,Race Course Road,Very Good
3832,Masala Oota,Quick Bites,3.6,79,500.0,yes,no,"South Indian, Biryani",Brigade Road,Residency Road,Good
3833,Masala Secret Eat Wow,Quick Bites,3.6,14,300.0,yes,no,"Street Food, Fast Food, Chinese, Momos",Hsr,Hsr,Good
3834,Masale Daan,Delivery,3.1,4,350.0,yes,no,North Indian,Banashankari,Banashankari,Good
3835,Mast Biryani - Fresh Indian Kitchen,Casual Dining,3.5,254,500.0,no,no,"Biryani, North Indian, Mughlai, Fast Food",Marathahalli,Marathahalli,Good
3836,Mast Biryani - Night Express,Delivery,3.5,17,500.0,no,no,"North Indian, Biryani, Fast Food",Marathahalli,East Bangalore,Good
3837,Mast Kalandar,Casual Dining,2.1,337,450.0,no,no,North Indian,Bellandur,Bellandur,Average
3838,Mast Punjabi,Quick Bites,2.6,231,400.0,yes,no,"North Indian, Chinese, Rolls, Biryani, Kebab",Banashankari,Kumaraswamy Layout,Average
3839,Mast Punjabi Spice,"Takeaway, Delivery",2.9,34,400.0,yes,no,North Indian,Electronic City,Electronic City,Average
3840,Master Brothers,Bakery,3.3,7,450.0,yes,no,"Desserts, Bakery",Brookefield,Whitefield,Good
3841,Master Chifoo,Casual Dining,3.9,55,800.0,yes,no,"Chinese, Thai, Momos",Brookefield,Marathahalli,Good
